slug,state
apekx,Andhra Pradesh
as,Assam
br,Bihar
cg,Chhattisgarh
ga,Goa
gj,Gujarat
hr,Haryana
jk,Jammu and Kashmir
jh,Jharkhand
ka,Karnataka
kl,Kerala
mitra,Maharashtra
mn,Manipur
mz,Mizoram
nl,Nagaland
od,Odisha
pb,Punjab
rj,Rajasthan
sk,Sikkim
tn,Tamil Nadu
ts,Telangana
tp,Tripura
up,Uttar Pradesh
uk,Uttarakhand
an,Andaman and Nicobar
ch,Chandigarh
dl,National Capital Territory of Delhi
cbse,
ncert,
ar,Arunachal Pradesh
hp,Himachal Pradesh
mp,Madhya Pradesh
ml,Meghalaya
wb,West Bengal
dn,Dadra and Nagar Haveli
dd,Daman and Diu
ld,Lakshadweep
py,Union Territory of Puducherry